ind,lat,lon
118,37.37306,-5.96927
119,37.40934,-6.00634
120,37.38154,-5.99555
121,37.40747,-6.0076
122,37.39962,-5.97772
123,37.38377,-5.90892
124,37.39707,-6.0063
125,37.41104,-6.00196
126,37.38765,-5.96566
127,37.41011,-6.00572
128,37.37312,-5.99761
129,37.37756,-5.96656
130,37.38696,-5.97805
131,37.40604,-5.98573
132,37.38414,-5.97968
133,37.38111,-6.01201
134,37.35134,-5.97776
135,37.41316,-5.98536
136,37.38851,-5.95939
137,37.38208,-5.96812
138,37.40661,-6.00298
139,37.39739,-6.01064
140,37.40313,-5.99192
141,37.39201,-5.97829
142,37.37897,-5.96892
143,37.42045,-5.96796
144,37.39054,-5.95907
145,37.37368,-5.98546
146,37.39029,-5.97996
147,37.32873,-5.96824
148,37.37163,-5.98183
149,37.40258,-5.94044
150,37.37702,-5.94704
151,37.39834,-5.98164
152,37.38735,-5.98307
153,37.3754,-5.95255
154,37.38976,-5.98702
155,37.39675,-5.97863
156,37.39871,-5.98946
157,37.41786,-5.9693
158,37.38312,-6.01088
159,37.38078,-6.00918
160,37.38337,-6.00829
161,37.39568,-5.97367
162,37.37988,-5.97438
163,37.38175,-5.99328
164,37.40564,-5.99849
165,37.40333,-5.98904
166,37.4008,-5.97523
167,37.40509,-5.96886
168,37.39046,-5.9981
169,37.39769,-5.9616
170,37.38857,-6.01028
171,37.37574,-6.00568
172,37.35983,-5.98638
173,37.40847,-5.92801
174,37.40246,-5.97015
175,37.4146,-5.97388
176,37.40054,-5.97978
177,37.36705,-5.9711
178,37.36885,-5.98162
179,37.38994,-5.97076
180,37.39145,-5.97276
181,37.4,-5.9691
182,37.40334,-5.98788
183,37.37896,-5.98997
184,37.40097,-6.00938
185,37.34806,-5.98006
186,37.38263,-5.97085
187,37.39002,-5.97447
188,37.3828,-5.97351
189,37.38158,-5.96522
190,37.39879,-5.99347
191,37.40411,-5.93709
192,37.40389,-5.92795
193,37.37323,-5.97389
194,37.388,-5.99359
195,37.41022,-5.92642
196,37.38044,-5.95348
197,37.3952,-5.99087
198,37.36026,-5.97666
199,37.37769,-5.9608
200,37.41568,-5.96786
201,37.41217,-6.00634
202,37.39226,-5.98988
203,37.39739,-5.91878
204,37.40167,-5.94214
205,37.38426,-5.97259
206,37.37679,-5.99789
207,37.37508,-5.97586
208,37.42344,-5.9664
209,37.41335,-5.98257
210,37.40103,-5.98858
211,37.38645,-5.9976
212,37.32458,-5.96897
213,37.35635,-5.98646
214,37.41099,-5.97163
215,37.40813,-5.91999
216,37.39755,-5.9967
217,37.38735,-5.91992
218,37.39454,-5.9799
219,37.36143,-5.9816
220,37.39784,-5.9985
221,37.38934,-5.99961
222,37.39291,-5.97074
223,37.36475,-5.98145
224,37.40068,-5.99363
225,37.39302,-5.98686
226,37.37773,-5.97724
227,37.38554,-6.01109
228,37.38132,-6.00105
229,37.37005,-5.9595
230,37.38061,-5.96057
231,37.39332,-5.98377
232,37.40071,-5.92654
233,37.37716,-5.98194
234,37.38714,-5.94841
235,37.40313,-5.98111
236,37.38535,-5.98679
237,37.39648,-5.98737
238,37.39445,-5.92123
239,37.38894,-5.99565
240,37.39071,-5.98277
241,37.40965,-5.9844
242,37.40487,-5.98654
243,37.39423,-6.01031
244,37.35874,-5.98128
245,37.40202,-5.98632
246,37.3698,-5.97819
247,37.35637,-5.97926
248,37.38015,-6.00438
249,37.37477,-5.99854
250,37.39116,-5.97597
251,37.36913,-5.98808
252,37.36805,-5.98485
253,37.3913,-5.98814
254,37.35983,-5.98638
255,37.37465,-5.9938
256,37.38664,-5.95398
257,37.39154,-5.96847
258,37.4091,-5.99092
259,37.34536,-5.99003
